ingredient_name,rating,functions,benefits
Chlorella,GOOD,"A type of algae that has the potential to act as a thickening agent, water-binding agent, and antioxidant in skin care formulations.","Soothing, Hydration"
Chlorhexidine Digluconate,GOOD,"Preservative used in cosmetics to prevent contamination, particularly in water-based formulas.",
Chlorophene,GOOD,Used as a preservative in cosmetics.,
Chlorophyll,GOOD,A natural green pigment found in all green plants and some types of bacteria. Aids in the process of photosynthesis and has antioxidant properties for skin.,
Chlorophyllin-Copper Complex,GOOD,A derivative of chlorophyll that can be used in cosmetic products to minimize unpleasant odors. Also provides antioxidant benefits. May impart color to the formula.,Anti-Aging
Chloroxylenol,GOOD,Chemical compound used as a preservative and cleansing agent.,
Chlorphenesin,GOOD,Effective skin care preservative that inhibits contamination and helps stabilize the formula’s shelf life.,
Cholecalciferol,GOOD,Technical name for vitamin D.,Anti-Aging
Chrysanthemum Parthenium (Feverfew) Flower Extract,GOOD,"This extract is a source of beneficial antioxidants and can offer significant soothing properties for skin. However, if a specific constituent of the plant known as parthenolide is present, it can have a sensitizing effect on skin. Note: All Paula’s Choice products are parthenolide-free.",Soothing
Chrysin,GOOD,A phytochemical that has shown promise as a potent antioxidant and has documented soothing qualities that can visibly improve a wide range of skin and eye-area concerns.,
Cichorium Intybus,GOOD,Source of a plant extract with antioxidant properties.,Anti-Aging
Cimicifuga Racemosa Root Extract,GOOD,A root whose components produce a type of phytoestrogen (plant estrogen) used in anti-aging skin care products.,
Citrate Buffer,GOOD,Citrate buffer is a buffered mixture of sodium citrate and citric acid and is used in cosmetics as a pH adjuster.,
Citric Acid,GOOD,"Fruit-derived ingredient used in skin care products to adjust a formula's pH. In the right concentration/formula, it can also exfoliate skin.",
Cladosiphon Okamuranus,GOOD,This type of brown algae has a soothing effect on when applied topically.,Soothing
Clay,GOOD,"Natural, highly absorbent ingredient that also helps to thicken cosmetics, modify product slip, add opacity, and prevent makeup and skin care formulas from caking.",
Cocamidopropyl Betaine,GOOD,Gentle cleansing ingredient used in face and body washes that can help increase lather. It can be naturally derived from coconut oil or produced synthetically.,
Cocamidopropyl Dimethylamine,GOOD,"An antistatic agent derived from coconut oil, though it may be produced synthetically, too.",
Cocamidopropyl Hydroxysultaine,GOOD,"This coconut-derived surfactant provides gentle cleansing, lathering, and helps thicken and stabilize cosmetic formulas.",
Coco Betaine,GOOD,"This surfactant derived from coconut oil has cleansing, foaming, and anti-static properties and is ruled safe as used in cosmetics.",
Coco-Caprylate,GOOD,"A lightweight, easy-to-spread emollient ingredient that smooths and softens skin.",Hydration
Coco Caprylate/Caprate,GOOD,"An emollient that leaves a non-greasy, soft finish on skin. Can also function as a prebiotic to help feed skin's natural supply of probiotics.",Hydration
Coco-Glucoside,GOOD,"This combination of fatty alcohol from coconut oil and the sugar glucose lifts dirt and oils from skin, making it a gentle cleansing ingredient in skin care products.",
Cocoglycerides,GOOD,These coconut-derived glycerides are used as softening and thickening agents skin care. They’ve been ruled safe as used in cosmetics.,Hydration
Coconut,GOOD,"Has degreasing and cleansing properties, which is why detergent cleansing agents are frequently derived from coconut oil.",
Coconut Acid,GOOD,A natural mixture of fatty acid found in coconut oil primarily used as a cleansing agent.,
Coconut Alkanes,GOOD,Coconut alkanes is a solvent and skin-softening emollient. It’s derived from fatty acids found in coconut oil. Learn more at Paula’s Choice Skincare.,Hydration
Cocoyl Proline,GOOD,This mixture of coconut fatty acids and the amino acid proline functions as a hydrating and conditioning ingredient in skin care.,Hydration
Codium Tomentosum Extract,GOOD,Extract of a species of green algae that has antioxidant and texture enhancing abilities in cosmetics.,Anti-Aging
Coix Lacryma-Jobi Ma-Yuen Seed Extract,GOOD,"A plant extract, AKA adlay or Job’s tears, that contains antioxidant and brightening benefits.","Anti-Aging, Evens Skin Tone"
Collagen Amino Acids,GOOD,Collagen amino acids are made from the hydrolylsis (breaking down with water) of protein.,Hydration
Colloidal Gold,GOOD,Nanosized gold particles that offer preservative properties & can help enhance the delivery/efficacy of other key ingredients.,
Colostrum,GOOD,This “first milk” is a rich source of nutrients and helps protect skin from oxidative stress.,"Anti-Aging, Dark Spot Fading"
Coneflower,GOOD,Another name for echinacea; has soothing properties.,Soothing
Copernicia Cerifera (Carnauba) Wax,GOOD,"Primarily used as a thickening agent, but also has film-forming and absorbent properties. Can be used to impart glossy shine.",
Copernicia Cerifera Wax,GOOD,"Primarily used as a thickening agent, but also has film-forming and absorbent properties. Can be used to impart glossy shine.",
Copper Gluconate,GOOD,This copper salt of glucuronic acid helps transport water and other substances within skin.,Hydration
Copper Lysinate/Prolinate,GOOD,An amino acid/mineral complex that limited yet potentially exciting research has shown has the potential to improve the look of multiple signs of aging.,Hydration
Copper PCA,GOOD,A synthetic skin-conditioning agent composed of the copper salt of PCA (Pyrrolidone Carboxylic Acid).,Hydration
Copper Peptides,GOOD,"Copper peptides combine the element copper with three amino acids. Copper peptides occur naturally in the body, and are used in trace amounts to...",Anti-Aging
Copper Tripeptide-1,GOOD,"Peptide that provides collagen, elastin, and glycosaminoglycan support. May also incite hair growth (potential downside if you’re not wanting such).",
Cornstarch,GOOD,Starch obtained from corn and sometimes used as an absorbent in cosmetics instead of talc.,Oil Control
Cornus Extract,GOOD,Unknown,Soothing
Corylus Americana,GOOD,Often used as an emollient in cosmetics.,Hydration
Corylus Avellana,GOOD,This is the Latin name for the flowering plant from which hazelnuts are harvested.,Hydration
Coumarin,GOOD,Organic compound found in plants and derived from the amino acid phenylalanine.,Anti-Aging
Crambe Abyssinica Seed Oil,GOOD,Emollient seed oil derived from the Crambe abyssinica plant that helps skin stay hydrated and soft.,Hydration
Cucumber Extract,GOOD,Non-irritating plant extract from the gourd family (think pumpkin).,"Hydration, Soothing"
Cucumis Sativus (Cucumber) Fruit Extract,GOOD,Plant extract that offers antioxidant properties. Contains fragrant components that are not sensitizing to skin (a rarity).,"Hydration, Anti-Aging"
Cucumis Sativus (Cucumber) Seed Extract,GOOD,Cucumber seed extract offers hydrating plant sterols and soothing antioxidants to help maintain healthy skin.,"Anti-Aging, Hydration, Soothing"
Cucumis Sativus Extract,GOOD,Plant extract that offers antioxidant properties. Contains fragrant components that are not sensitizing to skin (a rarity).,"Anti-Aging, Hydration"
Cyamopsis Tetragonoloba,GOOD,Often used a thickening agent in natural products.,
Cyamopsis tetragonoloba (Guar) Gum,GOOD,Plant-derived thickening agent.,
Cyanocobalamin,GOOD,"Overall there is limited research showing this ingredient has any benefit when applied topically on skin, though it might exert some when combined with other vitamins and antioxidants.",Anti-Aging
Cyclodextrin,GOOD,"A complex sugar (polysaccharide) derived from corn starch and used in cosmetics to keep certain ingredients suspended and evenly dispersed, which improves stability and efficacy.",
Cyclohexasiloxane,GOOD,Enhances skin’s hydration while also contributing to the formula’s silky texture and smooth spreadability. Helps distribute ingredients evenly and effectively to skin.,Hydration
Cyclomethicone,GOOD,Silicone that is used to improve the aesthetics of a formula (its dry finish can help make moisturizers feel less greasy).,Hydration
Cyclopentasiloxane,GOOD,"Lightweight, conditioning silicone that creates silky-smooth spreadabilty and an enhanced sensorial feel. Also promotes even distribution of other ingredients in a formula.",Hydration
Cyclotetrasiloxane,GOOD,A type of silicone that is most often utilized for contributing emollience to a formula and delivering a skin-softening effect.,Hydration
Cysteine,GOOD,Antioxidant that can provide anti-aging benefits for skin.,Hydration
Cystine,GOOD,Amino acid that offers potential hydration benefits for skin.,Hydration
DEA Oleth-10 Phosphate,GOOD,"Used as an emulsifying agent, which is a group of ingredients essential to most cosmetic formulations.",
Decylene Glycol,GOOD,"This skin-softening synthetic glycol aids slip, softens skin, and can help enhance a cosmetic’s preservation system.",Hydration
Decyl Glucoside,GOOD,Commonly used mild surfactant in cleansing formulas; may also function as an emulsion stabilizer.,
Decyl Oleate,GOOD,A skin-conditioning agent with research backing its ability to improve immediate skin hydration. Its composition is similar to skin's natural lipids.,
Dehydroacetic Acid,GOOD,"A synthetic preservative uses in amounts of 0.6% or less. Sometimes its salt form (known as sodium dehydroacetate) is used, as it is more soluble in certain types of cosmetic formulas.",
Deionized/Demineralized Water,GOOD,Filtered water used in cosmetics. All water used in cosmetic formulations goes through this process to remove components that could interfere with a product's stability and performance.,Hydration
Deoxyribonucleic Acid,GOOD,"Also known as DNA, this complex molecule plays a a key role in all aspects of skin health.",
Detergent Cleansing Agent,GOOD,"This type of cleanser utilizes surfactants, or surface active agents, to emulsify oils and hold dirt in suspension.",
Dextran,GOOD,"This sugar has water-binding properties, making it a great ingredient for helping skin maintain adequate hydration.",Hydration
Dextrin,GOOD,Carbohydrate that is classified as a polysaccharide. It is used as an adhesive when mixed with water.,Oil Control
DHA,GOOD,"The acronym of the name dihydroxyacetone, this color additive is most often used in self tanners.",
Dibutyl Adipate,GOOD,Synthetic ester blend of a fatty alcohol and fatty acid makes a versatile ingredient whose primary roles are emollient and solvent.,Hydration
Dicaprylyl Carbonate,GOOD,"Skin-conditioning agent, emollient, and solvent that can be naturally or synthetically derived. According to its manufacturer, it’s particularly suitable for use in sunscreen products.",Hydration
Dicaprylyl Ether,GOOD,Plant-based oil that provides smooth spreadability and non-greasy emolliency. Can also be used to enhance formulary texture for more pleasing aesthetics.,Hydration
Dicetyl Phosphate,GOOD,Dicetyl phosphate does double duty as a cleansing agent and emulsifier that helps control the thickness of liquids. Learn more at Paula’s Choice.,
Diethylhexyl Butamido Triazone,GOOD,Oil-soluble synthetic sunscreen ingredient that provides protection against UVB rays and a portion of UVA rays. It’s also known as Iscotrizinol and Uvasorb HEB.,Anti-Aging
Diethylhexyl Carbonate,GOOD,Functions as a lightweight emollient. Can also be used in sunscreen formulas to help keep the active ingredients dispersed throughout the formula.,
Diethylhexyl Malate,GOOD,Emollient and skin-conditioning agent derived from the solvent ethyl hexanediol.,
Diethylhexyl Syringylidenemalonate,GOOD,"This ester functions as an antioxidant and photostabilizer in skin care, meaning it can protect against deterioration caused by light. It also stabilizes UV filters, most notably avobenzone.",Anti-Aging
Diglucosyl Gallic Acid,GOOD,This synthetic antioxidant has limited research showing its ability to fight discolorations and redness.,"Anti-Aging, Dark Spot Fading"
Dihydrocholeth-30,GOOD,A synthetic ingredient that functions as an emulsifier.,
Dihydroxyacetone,GOOD,Ingredient present in all self-tanners that affects the color of skin.,
Diisooctyl Succinate,GOOD,Liquid emollient that lends a cushiony texture and silky finish to creams and balms.,Hydration
Diisopropyl Adipate,GOOD,"Used as a film-forming agent, emollient, and skin-conditioning agent.",Hydration
Diisopropyl Dimer Dilinoleate,GOOD,A synthetic ester that functions as a skin-conditioning agent and emollient.,Hydration
Diisopropyl Sebacate,GOOD,Versatile skin-softening ingredient that also helps improve product spread and make heavier ingredients feel less greasy.,Hydration
Diisostearoyl Trimethylolpropane Siloxy Silicate,GOOD,Emollient in the silicone family.,Hydration
Diisostearyl Dimer Dilinoleate,GOOD,A synthetic ester that functions as an emollient and skin-conditioning agent. May be animal-derived.,Hydration
Diisostearyl Malate,GOOD,Diisostearyl malate is an ester that functions as an emollient.,Hydration
Diisostearyl Polyglyceryl-3 Dimer Dilinoleate,GOOD,Diisostearyl polyglyceryl-3 dimer dilinoleate is an emollient blend of fatty acids often used in cosmetics to enhance coverage.,Hydration
Dilauryl Thiodipropionate,GOOD,Unknown,"Anti-Aging, Dark Spot Fading"
Dimer Dilinoleyl Dimer Dilinoleate,GOOD,A mixture of fatty acids and a fatty alcohol.,Hydration
Dimethicone/Bis-Isobutyl PPG-20 Crosspolymer,GOOD,Synthetic crosspolymer primarily used in skin care for its texture-enhancing properties. Deemed safe for use in cosmetics.,Hydration
Dimethicone/PEG-10/15 Crosspolymer,GOOD,A mixture of the silicone dimethicone with PEG-10 and PEG-15.,Hydration
Dimethicone/Vinyl Dimethicone Crosspolymer,GOOD,Silicone powder that’s used to give cosmetics a silky feel and has mild absorption properties. It has been ruled safe as used in cosmetics.,
Dimethicone Copolyol,GOOD,A type of silicone used in makeup and skin care products.,Hydration
Dimethicone Crosspolymer,GOOD,"Silicone derivative used as thickener, stabilizer, and suspending agent in skin care products. It has been deemed safe as used in cosmetics.",
Dimethiconol,GOOD,Skin-conditioning emollient that helps preserve hydration while enhancing formulary texture for more elegant aesthetics.,Hydration
Dimethyl Capramide,GOOD,Functions as a stabilizer and solvent in cosmetics.,
Dimethyl Isosorbide,GOOD,"Dimethyl isosorbide is a clear, slightly oily-feeling liquid that functions as a solvent and may be plant-based or synthetic.",
Dipentaerythrityl Hexacaprylate/Hexacaprate,GOOD,"Mixture of fatty acids that serves several purposes in a skin care formula, including emollient, emulsifier & thickening agent. Provides a soft after-feel to skin.",Hydration
Dipentaerythrityl Hexahydroxystearate,GOOD,"Offers various formulary functions in skin care products, such as an emulsifying agent and viscosity adjuster. May also lend skin-conditioning qualities.",Hydration
Dipentaerythrityl Tetrabehenate/Polyhydroxystearate,GOOD,Used in skin care to create the right amount of slip and help bind moisture. Its substantive texture produces lasting results.,Hydration
Dipentaerythrityl Tri-Polyhydroxystearate,GOOD,Emollient and film-former known for helping to bind moisture and improve formulary texture.,Hydration
Dipotassium Phosphate,GOOD,A synthetic salt that helps to adjust and maintain the pH of water-based and water soluble cosmetic formulas.,
Di-PPG-3 Myristyl Ether Adipate,GOOD,Derivative of myristyl alcohol (a fatty alcohol) and adipic acid (a buffering and neutralizing ingredient).,Hydration
Dipropylene Glycol,GOOD,"A synthetic texturizer, slip agent, and solvent. It is a byproduct of propylene glycol and has been ruled safe as used in cosmetics.",
Disiloxane,GOOD,Multi-functional skin care ingredient that mostly improves the texture and feel of cosmetics. Also provides anti-foaming and emollient benefits.,Hydration
Disodium Acetyl GlucDisodium Acetyl Glucosamine Phosphateosamine Phosphate,GOOD,This conditioning ingredient is said to work by supporting glycosaminoglycans within skin.,Anti-Aging
Disodium Cocoamphodiacetate,GOOD,Mild cleansing agent derived from coconut; considered one of the gentlest surfactants used in facial cleansers.,
Disodium Cocoyl Glutamate,GOOD,This gentle cleansing ingredient is derived from coconut and has been ruled safe as used in cosmetics.,
Disodium Diglyceryl Phosphate,GOOD,Used as an emollient and thickening agent in cosmetics.,Hydration
Disodium EDTA,GOOD,"One of the salt forms of ethylenediaminetetraacetic acid, it improves the stability of other cosmetics ingredients, helping them last longer. It’s been deemed safe as used in cosmetics and is even used as an additive in some foods.",
Disodium Glyceryl Phosphate,GOOD,Used as an emollient and thickening agent in cosmetics.,Hydration
Disodium Lauraminopropionate,GOOD,A mild surfactant.,
Disodium Laureth Sulfosuccinate,GOOD,Gentle cleansing agent noted for boosting foaming properties.,
Disodium Lauriminodipropionate Tocopheryl Phosphates,GOOD,"This blend is part natural, part synthetic and offers multiple functions, including working as a cleansing agent and mild preservative. Research indicates it may also help calm redness.",Hydration
Disodium Rutinyl Disulfate,GOOD,This derivative of the bioflavonoid rutin has antioxidant properties for skin.,"Anti-Aging, Evens Skin Tone"
Disteardimonium Hectorite,GOOD,"Used as a suspending agent, often with pigments.",
Dodecane,GOOD,Dodecane is a synthetic or plant-derived hydrocarbon ingredient that works as an emollient in skin care.,Hydration
Dog Rose,GOOD,Plant with potential antioxidant (anti-aging) benefits for skin.,Anti-Aging
Dogwood,GOOD,There is a small amount of research showing that dogwood has antioxidant and soothing properties.,Soothing
Dromiceius Oil,GOOD,"Dromiceius oil comes from Dromaius novaehollandiae, also known as the emu, a large, flightless bird indigenous to Australia.",Hydration
Dulse,GOOD,A type of edible red algae that has antioxidant and anti-aging properties.,Anti-Aging
Durian,GOOD,A tropical fruit that contains high levels of antioxidants such as caffeic acid and quercetin.,
Durvillaea Antarctica Extract,GOOD,Extract derived from a species of algae (Durvillea antarctica).,"Hydration, Anti-Aging"
Echinacea Angustifolia Root Extract,GOOD,Plant extract with bioactive phytochemicals that have soothing and anti-aging benefits. Possesses antioxidant properties.,"Anti-Aging, Soothing"
Echinacea Purpurea Extract,GOOD,Plant extract with bioactive phytochemicals that have soothing and anti-aging benefits. Possesses antioxidant properties.,"Anti-Aging, Soothing"
EDTA,GOOD,"Acronym for ethylenediaminetetraacetic acid, a stabilizer used in cosmetics to prevent ingredients in a formula from binding with trace elements.",
Emollient,GOOD,"Supple, waxlike, lubricating, thickening agents that prevent water loss and have a softening and soothing effect on skin.",
Emulsifier,GOOD,"When it comes to cosmetics, an emulsifier refers to any ingredient that helps keep unlike ingredient from separating in an emulsion.",
Emu Oil,GOOD,"The emu (Dromaius novaehollandiae) is a large, flightless bird indigenous to Australia.",Hydration
Enzymes,GOOD,"Vast group of protein , produced by all living things, that act as catalysts in chemical and biological reactions.",Hydration
Epigallocatechin Gallatyl Glucoside,GOOD,Antioxidant and skin-conditioning agent derived from epigallocatechin gallate (EGCG) and glucose.,"Anti-Aging, Hydration, Soothing"
Ergocalciferol,GOOD,Technical name for vitamin D.,Anti-Aging
Erythrulose,GOOD,Substance chemically similar to the self-tanning agent dihydroxyacetone.,Hydration
Ester,GOOD,A compound formed from the reaction between an alcohol and an acid via the elimination of water.,
Ethoxydiglycol,GOOD,Helps key ingredients absorb more effectively and can also improve formulary texture + spreadability.,
Ethylcellulose,GOOD,"A naturally-derived texture enhancer, film-forming agent and solvent used in cosmetics. Improves aesthetics and provides water resistance.",
Ethylene/Propylene/Styrene/Copolymer,GOOD,Synthetic polymer used in oil-based formulas to help create gel textures.,
Ethyl Ferulate,GOOD,"A ferulic acid derivative that assists in neutralizing damage caused by environmental stressors, particularly UV rays.","Anti-Aging, Soothing"
Ethylhexyl Cocoate,GOOD,This coconut oil-derived ingredient is an emollient and skin conditioning agent.,Hydration
Ethylhexylglycerin,GOOD,Skin-softening agent with hydration boosting properties. Also plays an important preservative role to help keep cosmetic formulas stable.,Hydration
Ethylhexyl Hydroxystearate,GOOD,"Skin-conditioning emollient that delivers a soft, smooth after feel and locks in moisture without producing a tacky finish.",Hydration
Ethylhexyl Isononanoate,GOOD,"A light, water-insoluble emollient that helps prevent moisture loss.",Benefits: Hydration
Ethylhexyl Methoxycrylene,GOOD,UV-absorbing stabilizer for sunscreen actives and antioxidants. Can also function as a solvent/texture enhancer.,Anti-Aging
Ethylhexyl Palmitate,GOOD,"A skin softening and smoothing ingredient that can help reduce moisture loss from skin's upper layers, it also serves as a silicone alternative in skin care products.",Hydration
Ethylhexyl Stearate,GOOD,Emollient that delivers skin-softening properties and a smooth after feel.,Hydration
Ethyl Macadamiate,GOOD,"This nut-derived ingredient softens and conditions skin, while also adding a smooth, spreadable glide to the formula.",Hydration
Ethylparaben,GOOD,Parabens are a group of controversial preservatives.,
Ethyl Vanillin,GOOD,Flavoring agent derived from vanilla. It has antioxidant properties.,
Euphorbia Cerifera Wax,GOOD,"A type of wax derived from candelilla plants, often used in lip care products for barrier protection and emollience. Also contributes to the product's solid consistency.",Hydration
Faex,GOOD,A type of yeast.,Anti-Aging
Fatty Alcohol,GOOD,Made from fatty acids; fatty alcohols are used in cosmetics as thickening agents and emollients....,Hydration
Fibronectin,GOOD,Type of protein found in the skin.,Hydration
Film-Forming Agent,GOOD,"Large group of ingredients that are typically found in hair-care products, but that are also widely used in skin care products.",
Folic Acid,GOOD,"Part of the B-vitamin complex; when taken orally, it is a good antioxidant.",Anti-Aging
Fructooligosaccharides,GOOD,Humectant and prebiotic that hydrates and supports a healthy skin microbiome.,Hydration
Fructose,GOOD,A natural sugar that occurs in many fruits as well as in honey. Acts as a flavoring agent and humectant in cosmetics and is also a prebiotic.,Hydration
Fuller's Earth,GOOD,Mineral substance that is similar to kaolin (a clay).,Oil Control
Galactoarabinan,GOOD,"A complex, plant-derived sugar whose film-forming properties help skin retain moisture and its soothing properties calm signs of redness.","Hydration, Anti-Aging, Soothing"
Galactomyces Ferment Filtrate,GOOD,"This yeast byproduct of sake fermentation has antioxidant, soothing, and discoloration-reducing properties.","Anti-Aging, Dark Spot Fading"
Galactorarabinan,GOOD,"A complex, plant-derived sugar whose film-forming properties help skin retain moisture and its soothing properties calm signs of redness.","Hydration, Anti-Aging, Soothing"
Gallyl Glucoside,GOOD,Antioxidant and skin-conditioning agent derived from gallic acid and glucose.,"Anti-Aging, Hydration, Soothing"
Gellan Gum,GOOD,"A plant-derived, high-weight, polysaccharide texture enhancer.",
Gellidiela Acerosa Extract,GOOD,Extract derived from a type of algae.,Anti-Aging
Ginger Extract,GOOD,Extract from a plant in the Zingiberacae family.,"Anti-Aging, Soothing"
Glucose,GOOD,"This sugar derived from plants hydrates and adds a pleasant, sweet flavor to products such as cleansers and lip balms.",Hydration
Glucose Oxidase,GOOD,"This enzyme functions as a skin conditioning ingredient in cosmetics. In nature, it is synthesized by several species of fungi and insects.",Hydration
Glutamic Acid,GOOD,An amino acid that aids in hydrating and conditioning skin. Naturally present in the human body as well.,Hydration
Gluten Ingredients,GOOD,"Gluten is a protein that occurs naturally in many types of grains, including wheat, rye, and barley.",Hydration
Glycereth-18,GOOD,A synthetic glycerin-based ingredient used as a humectant and skin-conditioning agent.,Hydration
Glycereth-26,GOOD,"A synthetic, glycerin-based ingredient which serves as a thickener and moisturizing ingredient in cosmetics. In rinse-off products, it is safely used in amounts up to 39.5%.",Hydration
Glycereth-26 Phosphate,GOOD,Used as an emollient and thickening agent in cosmetics.,
Glycereth-6 Laurate,GOOD,Used as an emollient and thickening agent in cosmetics.,
Glycereth-7 Triacetate,GOOD,"Functions as a humectant and emollient, contributing to hydration and a silky feel on skin. Also works as a solvent to enhance formulary texture.",Hydration
Glycereth-7 Trimethyl Ether,GOOD,Synthetic compound that works as an emollient and humectant to enhance skin moisturization and hydration. Can also function as a solvent.,Hydration
Glycerol Monostearate,GOOD,Used as an emollient and thickening agent in cosmetics.,
Glycerol Triacetate,GOOD,Used as an emollient and thickening agent in cosmetics.,
Glycerol Trioleate,GOOD,Used as an emollient and thickening agent in cosmetics.,Hydration
Glyceryl Behenate/Eicosadioate,GOOD,"This mixture of esters of glycerin, behenic and eicosadioic fatty acids works as a thickener and stabilizing agent in cosmetics.",Hydration
Glyceryl Caprylate,GOOD,"An emollient, emulsifier and wetting agent in cosmetics that can also help support preservatives and in certain formulas aid cleansing.",Hydration
Glyceryl Cocoate,GOOD,Used as an emollient and thickening agent in cosmetics.,Hydration
Glyceryl Dibehanate,GOOD,A complex mixture of glycerin and the naturally-occurring fatty acid behenic acid.,Hydration
Glyceryl Dipalmitate,GOOD,Used as an emollient and thickening agent in cosmetics.,Hydration
Glyceryl Distearate,GOOD,Used as an emollient and thickening agent in cosmetics.,Hydration
Glyceryl Ester,GOOD,Large group of ingredients that are composed of fats and oils.,
Glyceryl Isopalmitate,GOOD,Used as an emollient and thickening agent in cosmetics.,Hydration
Glyceryl Isostearate,GOOD,Used as an emollient and thickening agent in cosmetics.,Hydration
Glyceryl Laurate,GOOD,"A versatile emollient that’s typically plant-derived and also used to cleanse skin, stabilize formulas and help preserve cosmetics.",Hydration
Glyceryl Myristate,GOOD,Used as an emollient and thickening agent in cosmetics.,Hydration
Glyceryl Oleate,GOOD,"Mixture of portions of glycerin and oleic acid that can serve as an emollient, surfactant, emulsifier, and absorption enhancer within skin care formulas.",Hydration
Glyceryl Palmitate,GOOD,Used as an emollient and thickening agent in cosmetics.,Hydration
Glyceryl Polymethacrylate,GOOD,A blend of glycerin and polymethacrylic acid which functions as a film-forming agent in cosmetics and helps enhance the texture and application of skin care products.,
Glyceryl Ricinoleate,GOOD,"A blend of glycerin and ricinoleic acid, a fatty acid derived from castor seed oil. It has emollient, emulsifying, and cleansing properties.",Hydration
Glyceryl Rosinate,GOOD,A versatile ingredient that runs the gamut from softening skin and improving stability of plant oils. It’s considered safe.,Hydration
Glyceryl Stearate,GOOD,This moisturizing ingredient is found naturally in the human body but is usually plant- or synthetically derived in cosmetics. It has been deemed safe as used in cosmetics and is also used as a food additive.,Hydration
Glyceryl Stearate Citrate,GOOD,Glyceryl stearate citrate is an ester of citric acid and glyceryl stearate.,Hydration
Glyceryl Stearate SE,GOOD,"Emulsifies water and oil; can also be used as a thickener. Derivative of glyceryl stearate that is a self-emulsifying (that's what the ""SE"" stands for).",Hydration
Glycogen,GOOD,"Glycogen is a complex sugar that aids in the replenishment of skin’s ceramides, in turn helping skin maintain a strong barrier. Its humectant qualities hydrate skin.",Hydration
Glycol Distearate,GOOD,"Plays various roles depending on the formula, including opacifying agent, skin-conditioning occlusive, and viscosity-increasing agent (texture enhancer).",
Glycol Stearate,GOOD,"A mixture of glycerin and stearic acid used as an emollient, surfactant, and emulsifier. May also be used to impart a pearlescent appearance to a formula.",Hydration
Gossypium Herbaceum (Cotton) Seed Oil,GOOD,The oil expressed from the seeds of various species of cotton. Must be cleared of naturally-occurring toxins before being used in cosmetics.,Hydration
Guar Gum,GOOD,Plant-derived thickening agent.,
Guar Hydroxypropyltrimonium Chloride,GOOD,Functions as a synthetic conditioning agent for skin and hair and can play a role in depositing active ingredients.,Hydration
Gums,GOOD,"Substances that have water-binding properties, but that are used primarily as thickening agents.",
Haslea Ostrearia Extract,GOOD,Extract derived from a water plant also known as blue algae.,Hydration
Hazelnut Oil,GOOD,Oil extracted from the hazelnut and that is used as an emollient.,Hydration
Hectorite,GOOD,"A type of clay used in cosmetics that enhances texture by imparting a smooth, silky feel.","Oil Control, Pore Minimizer"
Helianthus Annuus (Sunflower) Seed Wax,GOOD,"Wax derived from sunflower seeds, known for its moisturizing properties and ability to enhance formulary texture.",Hydration
Heptyl Glucoside,GOOD,This ingredient works behind-the-scenes in skin care formulations as a solubilizing agent/hydrotrope surfactant.,
Heptyl Undecylenate,GOOD,Plant derived emollient used to help hydrate skin. Also included in formulas to reduce the greasy after-feel of other emollient ingredients.,Hydration
Hexyldecanol,GOOD,"A synthetic, non-drying fatty alcohol used as an emollient and skin-conditioning agent.",Hydration
Hexylene Glycol,GOOD,Solvent that is well-known for producing smooth spreadability and more pleasing textures in skin care formulas. Also used to enhance the efficacy of cosmetic preservative phenoxyethanol so it works better in lower amounts.,
Hexyl Laurate,GOOD,Skin-softening agent and emollient that is a mixture of hexyl alcohol and lauric acid.,Hydration
Himanthalia Elongata Extract,GOOD,Extract of a species of algae that may have beneficial properties for skin.,
Himanthalia Elongate Extract,GOOD,Extract of a species of algae.,
Hops,GOOD,There is no research showing that hops have any benefit for skin.,Anti-Aging
Hordeum Vulgare Extract,GOOD,"Can have antioxidant properties when ingested, but there is no research showing this to be the case when applied topically.",Hydration
Horse Chestnut Extract,GOOD,Plant-derived extract with potential antioxidant and skin-soothing properties,"Soothing, Anti-Aging"
Huang Qi,GOOD,"Root with potential antioxidant properties, although there isn't conclusive research that it functions that way when applied topically.",Anti-Aging
Humulus Lupulus Extract,GOOD,Components in this extract may have antioxidant properties.,Anti-Aging
Hydrated Silica,GOOD,Mattifying agent that also helps create an aesthetically pleasing texture.,
Hydrogenated Castor Oil,GOOD,"This hydrogenated form of castor oil is an emollient, surfactant, and skin-conditioning ingredient.",Hydration
Hydrogenated Castor Oil/Sebacic Acid Copolymer,GOOD,Synthetic and plant-derived ingredient that works as a skin-smoothing emollient and also helps the hair's cuticle layer flatten so it feels healthier and reflects light better.,
Hydrogenated Coco-Glyceride,GOOD,Used as an emollient and thickening agent in cosmetics.,Hydration
Hydrogenated Didecene,GOOD,"Skin-conditioning agent derived from didecene, which is a hydrocarbon.",Hydration
Hydrogenated Farnesene,GOOD,"Works as an emollient, solvent, and texture-enhancing ingredient. Contributes a silky, lightweight, non-greasy feel to the overall formula.",Hydration
Hydrogenated Jojoba Oil,GOOD,"Oil extracted from the jojoba plant, processed through controlled hydrogenation resulting in a soft wax. Provides skin-softening and moisturizing properties.",Hydration
Hydrogenated Palm Glycerides,GOOD,Palm glycerides are the fatty acid component of palm oil.,Hydration
Hydrogenated Phosphatidylcholine,GOOD,"The hydrogenated form of the active ingredient in lecithin. Works as an emulsifier, emollient, and skin-hydrating agent. May also help enhance the penetration of other ingredients.",Hydration
